input_table	_c1	dev_owner	owner_src	life_cycle	table_comment
autonavi_navi.tmp_dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	143537	143537	400	
autonavi_tinfo.ads_gd_raw_trace_classify_3406_flag0_merge_result_1d	223879,134915244,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;223879,134915244,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;203175,158601318,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di	268849	268849	400	3406和ds_code属于flag0的轨迹数据分类结果合并表
autonavi_tinfo.autolr_dipper_lowpass_model_v9	203175,198937848,gismonitor.yaw_user_match_dd,autonavi_tinfo.highway_link_scene	203175	203175	100	基于匹配抓路成功的流量，生成用于离线事件挖掘的linkmodel记录表
autonavi_tinfo.basic_link_info2	029023,202476989,gismonitor.yaw_user_match_dd,autonavi_tinfo.global_end_link;194251,225956898,gismonitor.yaw_user_match_dd,;029023,201084123,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dalgo_parallel_links	029023	029023	720	
autonavi_tinfo.circle_choice_sample	223879,254508146,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;344882,226739886,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.yaw_circle_active_stay_tag_buffer_day;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;223879,254508146,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;194251,225956898,gismonitor.yaw_user_match_dd,;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	223879	223879	186	
autonavi_tinfo.circle_path_alley_candidates_incre	223879,230521075,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.circle_path_alley_candidates_pass_num_daily	223879	223879	33	
autonavi_tinfo.circle_path_alley_candidates_pass	223879,230521075,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.circle_path_alley_candidates_pass_num_daily	223879	223879	33	
autonavi_tinfo.circle_path_alley_candidates_pass_num_daily	143537,217550814,gd_cdm.dwd_gd_trvl_alley_5link_di,	223879	223879	186	
autonavi_tinfo.daily_mining_f2_links	197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gismonitor.yaw_user_match_dd,autonavi_tinfo.daily_mining_link_pair_features_static_di	197516	197516	186	贯掉路口表
autonavi_tinfo.daily_mining_link_motif	197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gismonitor.yaw_user_match_dd,autonavi_tinfo.daily_mining_link_pair_features_static_di;197516,157726951,gd_cdm.dwd_gd_trvl_alley_5link_di,autonavi_tinfo.daily_mining_link_pair_features_static_di	197516	197516	186	
autonavi_tinfo.daily_mining_link_pair_features_static_di	106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;194251,225956898,gismonitor.yaw_user_match_dd,;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;143537,217550814,gd_cdm.dwd_gd_trvl_alley_5link_di,;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di	197516	197516	400	link pair天级静态属性表
autonavi_tinfo.dalgo_parallel_links	143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di	029023	029023	180	
autonavi_tinfo.dop_output	029023,202476989,gismonitor.yaw_user_match_dd,autonavi_tinfo.global_end_link	029023	029023	90	
autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	203175	203175	93	轨迹-link行为标记表（排除偏航）
autonavi_tinfo.dwd_gd_trvl_route_path_drv_di	223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample	223879	223879	33	该表和gd_cdm.dwd_gd_trvl_route_drv_di的关系是：把key_points替换成了真正的nds_lists，同时添加了4个路线相关的字段
autonavi_tinfo.fwq_close_main	203175,198937848,gismonitor.yaw_user_match_dd,autonavi_tinfo.highway_link_scene	203175	203175	93	高速实时挖掘集合
autonavi_tinfo.global_end_link	194251,225956898,gismonitor.yaw_user_match_dd,	029023	029023	180	
autonavi_tinfo.global_topo_end_link	143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,231508056,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,autonavi_navi.dwd_gd_trvl_nopenalty_route_drv_di;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di	029023	029023	180	
autonavi_tinfo.gmatch_gd_trvl_arr_road_di	143537,217551841,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_linkpair_trail_di;223879,152285356,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;223879,254508146,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;223879,134915244,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch;203175,158601318,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di;223879,152285356,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;223879,254508146,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;143537,217551841,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;223879,134915244,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;143537,217551841,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	197257	197257	120	
autonavi_tinfo.gps_trace_match_result	197257,180066282,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.gmatch_gd_trvl_arr_road_di	197257	197257	3	
autonavi_tinfo.highway_link_scene	194251,225956898,gismonitor.yaw_user_match_dd,;194251,237513542,gismonitor.yaw_user_match_dd,gismonitor.highway_rhombus_road	203175	203175	90	高速场景划分表
autonavi_tinfo.hour_event_features	194251,225956898,gismonitor.yaw_user_match_dd,	029023	029023	93	
autonavi_tinfo.link_normal_travel_count	203175,158601318,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dwd_gd_map_trace_link_bhv_exyaw_di	029023	029023	365	
autonavi_tinfo.links_around_links	029023,201084123,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_tinfo.dalgo_parallel_links	223879	223879	33	
autonavi_tinfo.links_in_aoi	029023,202476989,gismonitor.yaw_user_match_dd,autonavi_tinfo.global_end_link	223879	223879	186	
