input_table	_c1	dev_owner	owner_src	life_cycle	table_comment
gd_cdm.dim_gd_trvl_recaller_penalty_all_di	205682,259594044,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_ext;205682,259594044,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_ext	205682	205682	400	高位信息维表，全量禁止信息=中间层豁免+导航服务加载
gd_cdm.dim_gd_trvl_route_high_penaltys_di	205682,260723005,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_penalty_features;205682,260723005,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_penalty_features	205682	205682	31	业务集市|导航|维表数据|badcase|导航禁止信息详情
gd_cdm.dwd_all_highway_link_detail	194251,263431264,gismonitor.yaw_user_match_dd,;205682,270308224,gd_cdm.dwd_gd_trvl_alley_5link_di,;369466,257552603,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;369466,259219440,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;369466,259219440,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	369466	369466	400	badcase|下上高速非高速link数据
gd_cdm.dwd_gd_link_pair_ext	194251,225956898,gismonitor.yaw_user_match_dd,;369466,259219440,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;369466,257552603,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;369466,259219440,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di	205682	205682	400	
gd_cdm.dwd_gd_trvl_automation_penalty_ossdata_di	369466,255686431,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_trvl_badcase_vitiation_detail_di;369466,255686431,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_trvl_badcase_vitiation_detail_di	369466	369466	180	基于业务规则下，最终要上传到oss的禁止信息明细数据
gd_cdm.dwd_gd_trvl_circle_detail_di	369466,234128968,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_bad_action_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;201598,247234172,autonavi_navi.dwd_gd_trvl_circle_parallel_cross_ind,autonavi_navi.dwd_gd_trvl_circle_detail_basic_info;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;143537,255662538,gd_cdm.dwd_gd_trvl_cont_yaw_di,;143537,264024680,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,autonavi_navi.tmp_dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;205682,265436755,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_circle_tag_di;350347,267639907,gd_ads.ads_gd_trvl_change_toll_drv_1d,;168848,254108588,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,	185394	185394	732	
gd_cdm.dwd_gd_trvl_circle_tag_di	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,	205682	205682	400	业务集市|导航|维表数据|badcase|回环打标数据
gd_cdm.dwd_gd_trvl_etau_drv_di	223879,254508146,gd_cdm.dwd_gd_trvl_highway_di,autonavi_tinfo.yaw_links_base_gmatch;223879,134262442,gismonitor.yaw_user_match_dd,autonavi_tinfo.circle_choice_sample;300150,185237160,gismonitor.yaw_user_match_dd,autonavi_incubation.source_truck_trace_classification;223879,254508146,gismonitor.yaw_user_match_dd,autonavi_tinfo.yaw_links_base_gmatch	143537	143537	90	高德出行域驾车实时路况更新明细事实表。每条记录是一次路况更新请求及服务返回。主要包括解析后路况更新请求，包括数据版本，路线link序列等，以及服务下发信息，如路线拥堵状况等。用途：路况更新请求详情统计。
gd_cdm.dwd_gd_trvl_evtpub_di	185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,	143537	143537	400	高德出行域autolr事件发布明细事实表。
每条记录是autolr发布的一个ugc事件的明细快照数据。
主要包括：事件id，事件类型，来源，道路id等。
用途：动态事件挖掘。
gd_cdm.dwd_gd_trvl_evtpub_mi	143537,103440027,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_evtpub_di;143537,103440027,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_evtpub_di;143537,103440027,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_evtpub_di	143537	143537	367	高德-出行域-交通-事件发布，高德出行域autolr事件发布明细事实表。 每条记录是autolr发布的一个ugc事件的明细快照数据。 主要包括：事件id，事件类型，来源，道路id等。 用途：动态事件挖掘。
gd_cdm.dwd_gd_trvl_flwpub_new_di	185394,263143055,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;106847,253469569,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;185394,263891418,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;185394,263143055,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di;106847,253481224,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;185394,263891418,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;106847,253481224,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_b_di;106847,253469569,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_split_path_a_di	143537	143537	186	高德数据中台-出行域-交通-路况发布
gd_cdm.dwd_gd_trvl_highway_di	369466,238872149,gismonitor.yaw_user_match_dd,gd_cdm.dwd_all_highway_link_detail;369466,238872149,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_all_highway_link_detail;369466,238872149,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_all_highway_link_detail;369466,238872149,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_all_highway_link_detail	350347	350347	1825	下上高速详情表
gd_cdm.dwd_gd_trvl_linkpair_trail_di	143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;350347,266864619,gd_ads.dws_gd_trvl_change_path_di,;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;350347,266864619,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_ads.dws_gd_trvl_change_path_di;369466,269377248,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.mds_gd_trvl_navi_link_invalid_backtrack_di;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;143537,218660434,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_navi_trail_di;143537,218660434,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_navi_trail_di;350347,268019921,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_cover_metric_1d;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;143537,203992510,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_trail_penalty_drv_di;369466,234128968,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,	143537	143537	186	实走LINK PAIR表。每条记录代表一次实走对应的LINK PAIR信息，包括当前LINK ID、下一条LINK ID、LINK进入时间、LINK通行速度、navi_id、高位类型、命中的惩罚信息等
gd_cdm.dwd_gd_trvl_log_trail_di	143537,231508056,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,autonavi_navi.dwd_gd_trvl_nopenalty_route_drv_di;369466,234128968,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;143537,204001054,gd_cdm.dwd_gd_trvl_circle_detail_di,autonavi_navi.dwd_gd_trvl_car_navi_route_path_penalty_drv_di	143537	143537	186	路线覆盖率过程数据表
gd_cdm.dwd_gd_trvl_navi_drv_di	143537,218660434,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_navi_trail_di;350347,258694697,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_ads.dws_gd_trvl_diversity_bad_di,gd_cdm.dim_gd_trvl_navi_di;205682,101539611,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_gd_trvl_route_drv_di;143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d;350347,212109404,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;143537,217551841,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;143537,217551841,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_linkpair_trail_di;350347,242142609,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_path_detail_di;350347,242142609,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_path_detail_di;350347,242142609,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_path_detail_di;201598,199440578,gd_cdm.dwd_gd_trvl_opposite_strategy_di,autonavi_navi.cml_offline_personal_od_cnt_target_drv_di;143537,218660434,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_navi_trail_di;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;350347,261568429,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_ads.dws_gd_trvl_navi_metric_drv_di;350347,261568429,gd_cdm.dwd_gd_trvl_highway_di,gd_ads.dws_gd_trvl_navi_metric_drv_di;350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,	205682	205682	400	高德出行域驾车导航明细事实表。每条记录是一次导航过程中的信息。主要包括一次导航过程中的信息，包括ETA采样段，用户实走时间，距离，偏航次数等。用途：统计偏航情况，生成ETA评测case等。
gd_cdm.dwd_gd_trvl_navi_reroute_detail_drv_di	143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d;350347,261568429,gd_cdm.dwd_gd_trvl_highway_di,gd_ads.dws_gd_trvl_navi_metric_drv_di;350347,261568429,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_ads.dws_gd_trvl_navi_metric_drv_di	106847	106847	400	偏航信息表
gd_cdm.dwd_gd_trvl_navi_trail_di	143537,217572322,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_log_trail_di;350347,266864619,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_ads.dws_gd_trvl_change_path_di;350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;143537,217572322,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_log_trail_di;350347,266864619,gd_ads.dws_gd_trvl_change_path_di,;143537,217572322,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_log_trail_di;350347,268019921,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_cover_metric_1d	143537	143537	186	清理后轨迹表
gd_cdm.dwd_gd_trvl_navi_trail_log_di	106847,245529452,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_circle_detail_di,;106847,245529452,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;369466,238872149,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_all_highway_link_detail;369466,269377248,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.mds_gd_trvl_navi_link_invalid_backtrack_di;143537,231445623,gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di,gd_cdm.tmp_no_penalty_all_case;185394,263131727,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_circle_detail_di;106847,245529452,gd_cdm.dwd_gd_trvl_circle_detail_di,;369466,238872149,gismonitor.yaw_user_match_dd,gd_cdm.dwd_all_highway_link_detail;369466,238872149,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_all_highway_link_detail;369466,247742297,gd_cdm.dwd_gd_trvl_route_detour_di,;106847,245529452,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_circle_detail_di;369466,238872149,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_all_highway_link_detail;143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d;106847,245529452,autonavi_navi.dwd_gd_trvl_circle_detail_naviaction,gd_cdm.dwd_gd_trvl_circle_detail_di;185394,263131727,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_circle_detail_di	350347	350347	400	规划&导航明细表
gd_cdm.dwd_gd_trvl_nopenalty_path_circle_di	106847,248658625,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,248658625,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di	143537	143537	1825	在业务规则下，路线上的高位惩罚信息
gd_cdm.dwd_gd_trvl_opposite_strategy_di	350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di	143537	143537	1825	
gd_cdm.dwd_gd_trvl_path_detail_di	143537,233474156,gd_cdm.dwd_gd_trvl_opposite_strategy_di,;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;350347,268019921,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_cover_metric_1d;106847,248658625,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;350347,268703761,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dws_gd_change_path_add_toll_di;106847,247065994,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;350347,263000144,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;106847,248658625,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;350347,263000144,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;350347,266864619,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_ads.dws_gd_trvl_change_path_di;106847,247065994,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;350347,266864619,gd_ads.dws_gd_trvl_change_path_di,	350347	350347	400	
gd_cdm.dwd_gd_trvl_penalty_circles_df	205682,260723005,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_link_pair_penalty_features;205682,260723005,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dim_gd_link_pair_penalty_features	205682	205682	31	公共数仓|明细数据|APP平台业务中心|驾车导航|路网高位回环
gd_cdm.dwd_gd_trvl_penalty_detail_di	369466,255686431,gd_cdm.dwd_gd_trvl_route_detour_di,gd_ads.ads_gd_trvl_badcase_vitiation_detail_di;369466,255686431,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_ads.ads_gd_trvl_badcase_vitiation_detail_di	369466	369466	367	禁止信息挖掘明细数据
gd_cdm.dwd_gd_trvl_route_drv_di	350347,258694697,gd_cdm.dwd_gd_trvl_cont_yaw_di,gd_cdm.dim_gd_trvl_navi_di;106847,247065994,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,247065994,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;106847,249584144,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;185394,263858151,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.tmp_dwd_gd_trvl_circle_detail_di;143537,218660434,gd_ads.dws_gd_trvl_change_path_di,gd_cdm.dwd_gd_trvl_navi_trail_di;350347,263000144,gd_ads.dws_gd_trvl_diversity_bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;143537,218660434,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_navi_trail_di;201598,199440578,gd_cdm.dwd_gd_trvl_opposite_strategy_di,autonavi_navi.cml_offline_personal_od_cnt_target_drv_di;350347,263000144,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_ads.dws_gd_trvl_path_pair_detail_di;143537,204207260,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di;205682,270308224,gd_cdm.dwd_gd_trvl_alley_5link_di,;185394,226426913,gd_cdm.dwd_gd_trvl_highway_di,;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;350347,212109404,gd_cdm.dwd_gd_trvl_circle_detail_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;143537,204207260,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,;350347,212109404,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_navi_trail_log_di;143537,218797830,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dws_gd_trvl_navi_drv_1d;185394,269927063,gd_ads.ads_gd_trvl_3bad_4bad_di,;350347,267639907,gd_ads.ads_gd_trvl_change_toll_drv_1d,;205682,114650474,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_route_path_drv_di;205682,114650474,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_gd_trvl_route_path_drv_di;194251,225956898,gismonitor.yaw_user_match_dd,;350347,258694697,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,gd_ads.dws_gd_trvl_diversity_bad_di,gd_cdm.dim_gd_trvl_navi_di;350347,258694697,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dim_gd_trvl_navi_di;369466,257552603,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,	205682	205682	400	高德出行域驾车路线规划明细事实表。每条记录是一次路线规划请求及服务返回。主要包括解析后的路线规划请求，包括请求策略，起终点信息等，以及服务下发路线的关键信息，比如路线距离，时间，导航动作数等。用途：按请求参数统计PV，路线规划失败详情统计等。
gd_cdm.dwd_gd_trvl_route_drv_hi	205682,101539611,gd_ads.ads_gd_trvl_change_toll_drv_1d,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,autonavi_navi.dwd_gd_trvl_car_penalty_combine_reroute_circle_drv_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_cdm.dwd_gd_trvl_alley_5link_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_ads.ads_gd_trvl_3bad_4bad_di,gd_cdm.dwd_gd_trvl_route_drv_di;186680,101556324,gd_cdm.dwd_gd_trvl_route_detour_di,gd_cdm.dwd_gd_trvl_navi_drv_di;205682,101539611,gismonitor.yaw_user_match_dd,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,gd_cdm.dwd_gd_trvl_highway_di,gd_cdm.dwd_gd_trvl_route_drv_di;205682,101539611,autonavi_navi.dwd_gd_trvl_yaw_circle_route_valid_connect_drv_di_mid,gd_cdm.dwd_gd_trvl_route_drv_di;186680,101556324,gd_cdm.dwd_gd_trvl_opposite_strategy_di,gd_cdm.dwd_gd_trvl_navi_drv_di	205682	205682	3	高德出行域驾车路线规划明细事实表。每条记录是一次路线规划请求及服务返回。主要包括解析后的路线规划请求，包括请求策略，起终点信息等，以及服务下发路线的关键信息，比如路线距离，时间，导航动作数等。用途：按请求参数统计PV，路线规划失败详情统计等。
